,ScalingFactorS,LoadScalingFactor,electricEnergyKwh,naturalGasEnergyKwh,districtHeatingEnergyKwh,volumeFlowMainVentilatorM3H,PowerDemandMainVentilator,TemperatureBeforeMainVentilator,TemperatureAfterMainVentilator,volumeFlowRegenerationVentilatorM3H,PowerDemandRegenerationVentilator,TemperatureRegenerationHeater,HeatFlowRegenerationHeater,HeatFlowPreCooler/Heater-amb-1,TemperaturePreCooler-amb-1,HeatFlowPreCooler-3-4,TemperaturePreCooler-3-4,HeatFlowPreHeater-5-In,TemperaturePreHeater-5-In,FluidTemperatureInHeatRecoveryUnit,TemperatureInPurgeAir,DewPointTemperatureDryRoom,TemperatureDryRoom,DryRoomHeatLoad,DryRoomMoistureLoad,OutsideRelativeHumidity,OutsideTemperatureDegrees,Preheating,locationVariant
0,0.5,0.5,216026.33,235939.06,72376.9,1.5314584,3932.368,296.1676,296.83832,0.4588,759.3634,397.73502,63092.402,10956.989,283.15,-5.0,293.54633,16600.0,313.08322,333.15,309.86575,14.006446,304.18942,505.9375,0.0001937846,0.7642373531739003,9.732692179548014,4920.727,BS-1
1,1.0,0.5,426888.1,456081.62,198281.53,3.0629168,7779.482,295.69513,296.36398,0.9176,1511.0635,397.73502,90007.766,21953.135,283.15,-10.0,293.5038,33200.0,312.38055,334.677,310.1939,14.009039,303.50842,1011.875,0.0003875692,0.7642373533703788,9.732692326899839,9842.087,BS-2
2,2.0,0.5,850658.06,883800.3,491414.25,6.1258335,15480.977,295.12506,295.7937,1.8352,3002.4456,397.73502,166688.4,43979.49,283.15,-20.0,293.4576,66400.0,311.5857,340.24478,310.3578,14.010338,302.69525,2023.75,0.0007751384,0.7642373747382758,9.7326920053912,19688.316,BS-3
3,3.0,0.5,1272088.6,1307047.0,797047.56,9.18875,23210.832,294.7841,295.45297,2.7528,4489.7783,397.73502,243556.56,66003.555,283.15,-30.0,293.43304,99600.0,311.24072,342.24002,310.3897,14.0107765,302.21045,3035.625,0.0011627076,0.7642373632362699,9.732692230650182,29544.57,BS-4
4,4.0,0.5,1690417.4,1728835.0,1105687.1,12.251667,30952.703,294.54715,295.21628,3.6704,5975.8174,397.73502,320781.94,88016.76,283.15,-40.0,293.41882,132800.0,311.05914,343.3418,310.5061,14.010998,301.87393,4047.5,0.0013888889,0.7642373538878859,9.73269237420766,39406.06,BS-5
5,5.0,0.5,2107829.8,2148720.5,1415403.4,15.314584,38703.094,294.37045,295.0398,4.588,7461.315,397.73502,398148.88,110019.61,283.15,-50.0,293.4115,166000.0,311.44135,344.0502,310.6871,14.011133,301.6231,5059.375,0.0013888889,0.7642373446435728,9.732692701308276,49270.465,BS-6
6,6.0,0.5,2524551.2,2564692.8,1725759.8,18.3775,46461.94,294.30905,295.00336,5.5056,8946.582,397.73508,475535.22,132025.73,283.15,-60.0,293.40942,199200.0,311.15646,344.53998,310.8902,14.01122,301.4282,6071.25,0.0013888889,0.7642373411785656,9.732692580895245,59137.69,BS-7
7,7.0,0.5,2942989.8,2975339.8,2036492.4,21.440416,54227.305,294.40115,295.0951,6.4232,10431.661,397.73508,552901.3,154015.27,283.15,-70.0,293.41153,232400.0,310.8747,344.90005,311.08984,14.011281,301.27243,7083.125,0.0013888889,0.7642373361900182,9.732692444426943,69006.68,BS-8
8,8.0,0.5,3361265.0,3379366.2,2347513.2,24.503334,61997.11,294.45926,295.15295,7.3408,11916.58,397.73502,630239.1,176014.64,283.15,-80.0,293.43094,265600.0,310.7868,345.17712,311.27298,14.011336,301.1455,8095.0,0.0013888889,0.7642373537989803,9.73269192592149,78874.3,BS-9
9,9.0,0.5,3779443.8,3776026.5,2658744.8,27.56625,69770.43,294.48538,295.17892,8.2584,13401.5,397.73502,707557.0,198006.19,283.15,-90.0,293.5097,298800.0,310.75693,345.39694,311.43375,14.011374,301.04034,9106.875,0.0013888889,0.7642373471315467,9.732691939494977,88742.52,BS-10
